bcell_id	h_age	new_h_age
3492463	43 +/- 12 years	43 ± 12 years
3492464	36 +/- 10 years	36 ± 10 years
3492615	43 +/- 12 years	43 ± 12 years
3492617	43 +/- 12 years	43 ± 12 years
3492618	36 +/- 10 years	36 ± 10 years
3492619	43 +/- 12 years	43 ± 12 years
3492620	36 +/- 10 years	36 ± 10 years
3492621	43 +/- 12 years	43 ± 12 years
3492622	36 +/- 10 years	36 ± 10 years
3492623	43 +/- 12 years	43 ± 12 years
3492624	36 +/- 10 years	36 ± 10 years
3492775	43 +/- 12 years	43 ± 12 years
3492777	43 +/- 12 years	43 ± 12 years
3492778	36 +/- 10 years	36 ± 10 years
3492779	43 +/- 12 years	43 ± 12 years
3492780	36 +/- 10 years	36 ± 10 years
3492781	43 +/- 12 years	43 ± 12 years
3492782	36 +/- 10 years	36 ± 10 years
3492783	43 +/- 12 years	43 ± 12 years
3492784	36 +/- 10 years	36 ± 10 years
3492936	36 +/- 10 years	36 ± 10 years
3492937	43 +/- 12 years	43 ± 12 years
3492938	36 +/- 10 years	36 ± 10 years
3492939	43 +/- 12 years	43 ± 12 years
3492940	36 +/- 10 years	36 ± 10 years
3492941	43 +/- 12 years	43 ± 12 years
3492942	36 +/- 10 years	36 ± 10 years
3492943	43 +/- 12 years	43 ± 12 years
3492944	36 +/- 10 years	36 ± 10 years
3493095	43 +/- 12 years	43 ± 12 years
3493096	36 +/- 10 years	36 ± 10 years
3493097	43 +/- 12 years	43 ± 12 years
3493098	36 +/- 10 years	36 ± 10 years
3493099	43 +/- 12 years	43 ± 12 years
3493100	36 +/- 10 years	36 ± 10 years
3493101	43 +/- 12 years	43 ± 12 years
3493102	36 +/- 10 years	36 ± 10 years
3493103	43 +/- 12 years	43 ± 12 years
3493255	43 +/- 12 years	43 ± 12 years
3493256	36 +/- 10 years	36 ± 10 years
3493258	36 +/- 10 years	36 ± 10 years
3493259	43 +/- 12 years	43 ± 12 years
3493260	36 +/- 10 years	36 ± 10 years
3493261	43 +/- 12 years	43 ± 12 years
3493262	36 +/- 10 years	36 ± 10 years
3493263	43 +/- 12 years	43 ± 12 years
3493264	36 +/- 10 years	36 ± 10 years
3493415	43 +/- 12 years	43 ± 12 years
3493416	36 +/- 10 years	36 ± 10 years
3493418	36 +/- 10 years	36 ± 10 years
3493419	43 +/- 12 years	43 ± 12 years
3493420	36 +/- 10 years	36 ± 10 years
3493421	43 +/- 12 years	43 ± 12 years
3493422	36 +/- 10 years	36 ± 10 years
3493423	43 +/- 12 years	43 ± 12 years
3493424	36 +/- 10 years	36 ± 10 years
3493575	43 +/- 12 years	43 ± 12 years
3493577	43 +/- 12 years	43 ± 12 years
3493578	36 +/- 10 years	36 ± 10 years
3493579	43 +/- 12 years	43 ± 12 years
3493580	36 +/- 10 years	36 ± 10 years
3493581	43 +/- 12 years	43 ± 12 years
3493582	36 +/- 10 years	36 ± 10 years
3493583	43 +/- 12 years	43 ± 12 years
3493584	36 +/- 10 years	36 ± 10 years
3467984	1 months	1 month
3491695	43 +/- 12 years	43 ± 12 years
3491696	36 +/- 10 years	36 ± 10 years
3491697	43 +/- 12 years	43 ± 12 years
3491698	36 +/- 10 years	36 ± 10 years
3491699	43 +/- 12 years	43 ± 12 years
3491828	36 +/- 10 years	36 ± 10 years
3491829	43 +/- 12 years	43 ± 12 years
3491830	36 +/- 10 years	36 ± 10 years
3491831	43 +/- 12 years	43 ± 12 years
3491832	36 +/- 10 years	36 ± 10 years
3491833	43 +/- 12 years	43 ± 12 years
3491835	43 +/- 12 years	43 ± 12 years
3491836	36 +/- 10 years	36 ± 10 years
3491837	43 +/- 12 years	43 ± 12 years
3491988	36 +/- 10 years	36 ± 10 years
3491989	43 +/- 12 years	43 ± 12 years
3491990	36 +/- 10 years	36 ± 10 years
3491991	43 +/- 12 years	43 ± 12 years
3491992	36 +/- 10 years	36 ± 10 years
3491994	36 +/- 10 years	36 ± 10 years
3491995	43 +/- 12 years	43 ± 12 years
3491996	36 +/- 10 years	36 ± 10 years
3491997	43 +/- 12 years	43 ± 12 years
3492145	43 +/- 12 years	43 ± 12 years
3492146	36 +/- 10 years	36 ± 10 years
3492147	43 +/- 12 years	43 ± 12 years
3492148	36 +/- 10 years	36 ± 10 years
3492149	43 +/- 12 years	43 ± 12 years
3492151	43 +/- 12 years	43 ± 12 years
3492152	36 +/- 10 years	36 ± 10 years
3492153	43 +/- 12 years	43 ± 12 years
3492154	36 +/- 10 years	36 ± 10 years
3492305	43 +/- 12 years	43 ± 12 years
3492306	36 +/- 10 years	36 ± 10 years
3492307	43 +/- 12 years	43 ± 12 years
3492309	43 +/- 12 years	43 ± 12 years
3492310	36 +/- 10 years	36 ± 10 years
3492311	43 +/- 12 years	43 ± 12 years
3492312	36 +/- 10 years	36 ± 10 years
3492313	43 +/- 12 years	43 ± 12 years
3492314	36 +/- 10 years	36 ± 10 years
3492465	43 +/- 12 years	43 ± 12 years
3492466	36 +/- 10 years	36 ± 10 years
3492467	43 +/- 12 years	43 ± 12 years
3492468	36 +/- 10 years	36 ± 10 years
3492469	43 +/- 12 years	43 ± 12 years
3492470	36 +/- 10 years	36 ± 10 years
3492472	36 +/- 10 years	36 ± 10 years
3492473	43 +/- 12 years	43 ± 12 years
3492474	36 +/- 10 years	36 ± 10 years
3492625	43 +/- 12 years	43 ± 12 years
3492627	43 +/- 12 years	43 ± 12 years
3492628	36 +/- 10 years	36 ± 10 years
3492629	43 +/- 12 years	43 ± 12 years
3492630	36 +/- 10 years	36 ± 10 years
3492631	43 +/- 12 years	43 ± 12 years
3492632	36 +/- 10 years	36 ± 10 years
3492633	43 +/- 12 years	43 ± 12 years
3492634	36 +/- 10 years	36 ± 10 years
3492785	43 +/- 12 years	43 ± 12 years
3492787	43 +/- 12 years	43 ± 12 years
3492788	36 +/- 10 years	36 ± 10 years
3492789	43 +/- 12 years	43 ± 12 years
3492790	36 +/- 10 years	36 ± 10 years
3492791	43 +/- 12 years	43 ± 12 years
3492792	36 +/- 10 years	36 ± 10 years
3492793	43 +/- 12 years	43 ± 12 years
3492794	36 +/- 10 years	36 ± 10 years
3492946	36 +/- 10 years	36 ± 10 years
3492947	43 +/- 12 years	43 ± 12 years
3492948	36 +/- 10 years	36 ± 10 years
3492949	43 +/- 12 years	43 ± 12 years
3492950	36 +/- 10 years	36 ± 10 years
3492951	43 +/- 12 years	43 ± 12 years
3492952	36 +/- 10 years	36 ± 10 years
3492953	43 +/- 12 years	43 ± 12 years
3492954	36 +/- 10 years	36 ± 10 years
3493106	36 +/- 10 years	36 ± 10 years
3493107	43 +/- 12 years	43 ± 12 years
3493108	36 +/- 10 years	36 ± 10 years
3493109	43 +/- 12 years	43 ± 12 years
3493110	36 +/- 10 years	36 ± 10 years
3493111	43 +/- 12 years	43 ± 12 years
3493112	36 +/- 10 years	36 ± 10 years
3493113	43 +/- 12 years	43 ± 12 years
3493114	36 +/- 10 years	36 ± 10 years
3493266	36 +/- 10 years	36 ± 10 years
3493267	43 +/- 12 years	43 ± 12 years
3493268	36 +/- 10 years	36 ± 10 years
3493269	43 +/- 12 years	43 ± 12 years
3493270	36 +/- 10 years	36 ± 10 years
3493271	43 +/- 12 years	43 ± 12 years
3493272	36 +/- 10 years	36 ± 10 years
3493273	43 +/- 12 years	43 ± 12 years
3493274	36 +/- 10 years	36 ± 10 years
3493425	43 +/- 12 years	43 ± 12 years
3493426	36 +/- 10 years	36 ± 10 years
3493428	36 +/- 10 years	36 ± 10 years
3493429	43 +/- 12 years	43 ± 12 years
3493430	36 +/- 10 years	36 ± 10 years
3493431	43 +/- 12 years	43 ± 12 years
3493432	36 +/- 10 years	36 ± 10 years
3493433	43 +/- 12 years	43 ± 12 years
3493434	36 +/- 10 years	36 ± 10 years
3493586	36 +/- 10 years	36 ± 10 years
3493587	43 +/- 12 years	43 ± 12 years
3493588	36 +/- 10 years	36 ± 10 years
3493589	43 +/- 12 years	43 ± 12 years
3493590	36 +/- 10 years	36 ± 10 years
3493591	43 +/- 12 years	43 ± 12 years
3493592	36 +/- 10 years	36 ± 10 years
3493593	43 +/- 12 years	43 ± 12 years
3493594	36 +/- 10 years	36 ± 10 years
3491700	36 +/- 10 years	36 ± 10 years
3491701	43 +/- 12 years	43 ± 12 years
3491702	36 +/- 10 years	36 ± 10 years
3491704	36 +/- 10 years	36 ± 10 years
3491705	43 +/- 12 years	43 ± 12 years
3491706	36 +/- 10 years	36 ± 10 years
3491707	43 +/- 12 years	43 ± 12 years
3491708	36 +/- 10 years	36 ± 10 years
3491709	43 +/- 12 years	43 ± 12 years
3491838	36 +/- 10 years	36 ± 10 years
3491839	43 +/- 12 years	43 ± 12 years
3491840	36 +/- 10 years	36 ± 10 years
3491841	43 +/- 12 years	43 ± 12 years
3491843	43 +/- 12 years	43 ± 12 years
3491844	36 +/- 10 years	36 ± 10 years
3491845	43 +/- 12 years	43 ± 12 years
3491846	36 +/- 10 years	36 ± 10 years
3491847	43 +/- 12 years	43 ± 12 years
3491998	36 +/- 10 years	36 ± 10 years
3491999	43 +/- 12 years	43 ± 12 years
3492000	36 +/- 10 years	36 ± 10 years
3492001	43 +/- 12 years	43 ± 12 years
3492002	36 +/- 10 years	36 ± 10 years
3492004	36 +/- 10 years	36 ± 10 years
3492155	43 +/- 12 years	43 ± 12 years
3492156	36 +/- 10 years	36 ± 10 years
3492157	43 +/- 12 years	43 ± 12 years
3492159	43 +/- 12 years	43 ± 12 years
3492160	36 +/- 10 years	36 ± 10 years
3492161	43 +/- 12 years	43 ± 12 years
3492162	36 +/- 10 years	36 ± 10 years
3492163	43 +/- 12 years	43 ± 12 years
3492164	36 +/- 10 years	36 ± 10 years
3492315	43 +/- 12 years	43 ± 12 years
3492316	36 +/- 10 years	36 ± 10 years
3492317	43 +/- 12 years	43 ± 12 years
3492318	36 +/- 10 years	36 ± 10 years
3492319	43 +/- 12 years	43 ± 12 years
3492321	43 +/- 12 years	43 ± 12 years
3492322	36 +/- 10 years	36 ± 10 years
3492323	43 +/- 12 years	43 ± 12 years
3492324	36 +/- 10 years	36 ± 10 years
3492475	43 +/- 12 years	43 ± 12 years
3492477	43 +/- 12 years	43 ± 12 years
3492478	36 +/- 10 years	36 ± 10 years
3492479	43 +/- 12 years	43 ± 12 years
3492480	36 +/- 10 years	36 ± 10 years
3492481	43 +/- 12 years	43 ± 12 years
3492482	36 +/- 10 years	36 ± 10 years
3492483	43 +/- 12 years	43 ± 12 years
3492484	36 +/- 10 years	36 ± 10 years
3492636	36 +/- 10 years	36 ± 10 years
3492637	43 +/- 12 years	43 ± 12 years
3492638	36 +/- 10 years	36 ± 10 years
3492639	43 +/- 12 years	43 ± 12 years
3492640	36 +/- 10 years	36 ± 10 years
3492641	43 +/- 12 years	43 ± 12 years
3492642	36 +/- 10 years	36 ± 10 years
3492643	43 +/- 12 years	43 ± 12 years
3492644	36 +/- 10 years	36 ± 10 years
3492795	43 +/- 12 years	43 ± 12 years
3492797	43 +/- 12 years	43 ± 12 years
3492798	36 +/- 10 years	36 ± 10 years
3492799	43 +/- 12 years	43 ± 12 years
3492800	36 +/- 10 years	36 ± 10 years
3492801	43 +/- 12 years	43 ± 12 years
3492802	36 +/- 10 years	36 ± 10 years
3492803	43 +/- 12 years	43 ± 12 years
3492804	36 +/- 10 years	36 ± 10 years
3492955	43 +/- 12 years	43 ± 12 years
3492956	36 +/- 10 years	36 ± 10 years
3492958	36 +/- 10 years	36 ± 10 years
3492959	43 +/- 12 years	43 ± 12 years
3492960	36 +/- 10 years	36 ± 10 years
3492961	43 +/- 12 years	43 ± 12 years
3492962	36 +/- 10 years	36 ± 10 years
3492963	43 +/- 12 years	43 ± 12 years
3492964	36 +/- 10 years	36 ± 10 years
3493116	36 +/- 10 years	36 ± 10 years
3493117	43 +/- 12 years	43 ± 12 years
3493118	36 +/- 10 years	36 ± 10 years
3493119	43 +/- 12 years	43 ± 12 years
3493120	36 +/- 10 years	36 ± 10 years
3493121	43 +/- 12 years	43 ± 12 years
3493122	36 +/- 10 years	36 ± 10 years
3493123	43 +/- 12 years	43 ± 12 years
3493124	36 +/- 10 years	36 ± 10 years
3493275	43 +/- 12 years	43 ± 12 years
3493276	36 +/- 10 years	36 ± 10 years
3493277	43 +/- 12 years	43 ± 12 years
3493278	36 +/- 10 years	36 ± 10 years
3493279	43 +/- 12 years	43 ± 12 years
3493280	36 +/- 10 years	36 ± 10 years
3493281	43 +/- 12 years	43 ± 12 years
3493282	36 +/- 10 years	36 ± 10 years
3493283	43 +/- 12 years	43 ± 12 years
3493435	43 +/- 12 years	43 ± 12 years
3493437	43 +/- 12 years	43 ± 12 years
3493438	36 +/- 10 years	36 ± 10 years
3493439	43 +/- 12 years	43 ± 12 years
3493440	36 +/- 10 years	36 ± 10 years
3493441	43 +/- 12 years	43 ± 12 years
3493442	36 +/- 10 years	36 ± 10 years
3493443	43 +/- 12 years	43 ± 12 years
3493444	36 +/- 10 years	36 ± 10 years
3313540	6 to 8 weeks	6-8 weeks
3313541	6 to 8 weeks	6-8 weeks
3491848	36 +/- 10 years	36 ± 10 years
3491849	43 +/- 12 years	43 ± 12 years
3491850	36 +/- 10 years	36 ± 10 years
3491851	43 +/- 12 years	43 ± 12 years
3491852	36 +/- 10 years	36 ± 10 years
3491854	36 +/- 10 years	36 ± 10 years
3491855	43 +/- 12 years	43 ± 12 years
3491856	36 +/- 10 years	36 ± 10 years
3491857	43 +/- 12 years	43 ± 12 years
3492005	43 +/- 12 years	43 ± 12 years
3492006	36 +/- 10 years	36 ± 10 years
3492007	43 +/- 12 years	43 ± 12 years
